time,count,precinct
1609851646568,26,Flat Shoals Parkway
1609855196624,38,Flat Shoals Parkway
1609858825066,63,Flat Shoals Parkway
1609862308960,79,Flat Shoals Parkway
1609865984150,102,Flat Shoals Parkway
1609873497783,159,Flat Shoals Parkway
1609876794581,177,Flat Shoals Parkway
1609880396295,201,Flat Shoals Parkway
1609883980109,230,Flat Shoals Parkway
1609887595302,280,Flat Shoals Parkway
1609852018742,42,Flat Rock Elem
1609855313199,73,Flat Rock Elem
1609858998559,91,Flat Rock Elem
1609862968015,95,Flat Rock Elem
1609866310827,135,Flat Rock Elem
1609870225740,166,Flat Rock Elem
1609874869897,186,Flat Rock Elem
1609877092469,205,Flat Rock Elem
1609881303573,228,Flat Rock Elem
1609884028696,262,Flat Rock Elem
1609887675344,312,Flat Rock Elem
1609891939317,344,Flat Rock Elem
1609852792938,18,Flat Shoals
1609863087806,59,Flat Shoals
1609865359401,66,Flat Shoals
1609870042720,89,Flat Shoals
1609877939748,119,Flat Shoals
1609885950789,172,Flat Shoals
1609890346090,194,Flat Shoals
1609851806781,13,Flakes Mill Fire Station
1609855418766,19,Flakes Mill Fire Station
1609859049055,33,Flakes Mill Fire Station
1609862968065,47,Flakes Mill Fire Station
1609866730936,60,Flakes Mill Fire Station
1609869812474,63,Flakes Mill Fire Station
1609873731953,80,Flakes Mill Fire Station
1609877128800,85,Flakes Mill Fire Station
1609881341292,108,Flakes Mill Fire Station
1609884730277,120,Flakes Mill Fire Station
1609888054320,140,Flakes Mill Fire Station
1609892038459,156,Flakes Mill Fire Station
1609868066294,84,Flat Shoals Library
1609875616019,129,Flat Shoals Library
1609887929507,225,Flat Shoals Library
1609855740385,63,Freedom Middle
1609862762697,126,Freedom Middle
1609862830296,104,Freedom Middle
1609869505540,190,Freedom Middle
1609876931837,254,Freedom Middle
1609881457692,290,Freedom Middle
1609884228644,314,Freedom Middle
1609893743848,379,Freedom Middle
1609851823100,25,Glennwood
1609855372490,33,Glennwood
1609858943869,46,Glennwood
1609862578676,64,Glennwood
1609869911471,96,Glennwood
1609873518890,116,Glennwood
1609877014787,132,Glennwood
1609880443286,151,Glennwood
1609883857603,164,Glennwood
1609889259020,185,Glennwood
1609853506489,42,Glenhaven
1609855773697,55,Glenhaven
1609861044937,91,Glenhaven
1609866696846,131,Glenhaven
1609870640261,156,Glenhaven
1609873129957,170,Glenhaven
1609880995828,207,Glenhaven
1609883293758,220,Glenhaven
1609886914377,252,Glenhaven
1609852066063,23,Gresham Road
1609855928985,40,Gresham Road
1609863505367,82,Gresham Road
1609866328112,112,Gresham Road
1609873540096,172,Gresham Road
1609877790323,198,Gresham Road
1609881465727,232,Gresham Road
1609884685078,270,Gresham Road
1609853183560,74,Georgetown Sq
1609857036758,98,Georgetown Sq
1609859635229,139,Georgetown Sq
1609862994435,188,Georgetown Sq
1609866401592,235,Georgetown Sq
1609869400393,269,Georgetown Sq
1609873906771,318,Georgetown Sq
1609877395819,364,Georgetown Sq
1609881012956,405,Georgetown Sq
1609885125704,477,Georgetown Sq
1609889554397,527,Georgetown Sq
1609855251239,46,Glenwood Road
1609855295544,45,Glenwood Road
1609858701732,61,Glenwood Road
1609863388104,85,Glenwood Road
1609867551364,104,Glenwood Road
1609870843399,128,Glenwood Road
1609874760674,146,Glenwood Road
1609880955196,179,Glenwood Road
1609884548119,211,Glenwood Road
1609890723408,151,Glenwood Road
1609891615944,261,Glenwood Road
1609851690390,49,Hambrick Elem
1609857680051,110,Hambrick Elem
1609861211448,155,Hambrick Elem
1609864845372,192,Hambrick Elem
1609871532811,264,Hambrick Elem
1609878835017,339,Hambrick Elem
1609881953386,384,Hambrick Elem
1609887769190,464,Hambrick Elem
1609852194551,50,Hawthorne Elem
1609856009967,102,Hawthorne Elem
1609859133721,137,Hawthorne Elem
1609862566448,189,Hawthorne Elem
1609866454923,246,Hawthorne Elem
1609870764730,295,Hawthorne Elem
1609874497404,345,Hawthorne Elem
1609877063587,379,Hawthorne Elem
1609880988433,429,Hawthorne Elem
1609884949346,465,Hawthorne Elem
1609887530015,510,Hawthorne Elem
1609851672787,55,Huntley Hills Elem
1609855172569,105,Huntley Hills Elem
1609858899240,1488,Huntley Hills Elem
1609862287356,203,Huntley Hills Elem
1609865951158,242,Huntley Hills Elem
1609869735300,288,Huntley Hills Elem
1609873109373,329,Huntley Hills Elem
1609876858571,368,Huntley Hills Elem
1609880313537,404,Huntley Hills Elem
1609884002095,453,Huntley Hills Elem
1609887569107,515,Huntley Hills Elem
1609891496874,559,Huntley Hills Elem
1609852119281,32,Hugh Howell
1609855344246,58,Hugh Howell
1609859271663,100,Hugh Howell
1609862837858,133,Hugh Howell
1609867109993,164,Hugh Howell
1609869875030,192,Hugh Howell
1609874890046,236,Hugh Howell
1609877533567,267,Hugh Howell
1609884685244,316,Hugh Howell
1609888047053,339,Hugh Howell
1609852361543,26,Harris-Narvie J Harris Elem
1609855865992,39,Harris-Narvie J Harris Elem
1609859455598,60,Harris-Narvie J Harris Elem
1609863184329,77,Harris-Narvie J Harris Elem
1609866416901,93,Harris-Narvie J Harris Elem
1609870279220,110,Harris-Narvie J Harris Elem
1609874473168,145,Harris-Narvie J Harris Elem
1609877488580,155,Harris-Narvie J Harris Elem
1609881067166,179,Harris-Narvie J Harris Elem
1609884543302,214,Harris-Narvie J Harris Elem
1609888464784,260,Harris-Narvie J Harris Elem
1609848148783,0,Harris-Margaret Harris ED
1609851663342,37,Harris-Margaret Harris ED
1609855267154,55,Harris-Margaret Harris ED
1609858842360,74,Harris-Margaret Harris ED
1609862473410,104,Harris-Margaret Harris ED
1609866056525,122,Harris-Margaret Harris ED
1609869649899,151,Harris-Margaret Harris ED
1609873193485,171,Harris-Margaret Harris ED
1609876838915,189,Harris-Margaret Harris ED
1609880446985,207,Harris-Margaret Harris ED
1609884041307,235,Harris-Margaret Harris ED
1609887610848,263,Harris-Margaret Harris ED
